日期,销量
2019-01-01,332
2019-01-02,347
2019-01-03,377
2019-01-04,388
2019-01-05,340
2019-01-06,334
2019-01-07,397
2019-01-08,357
2019-01-09,388
2019-01-10,423
2019-01-11,438
2019-01-12,363
2019-01-13,380
2019-01-14,416
2019-01-15,455
2019-01-16,460
2019-01-17,394
2019-01-18,462
2019-01-19,481
2019-01-20,491
2019-01-21,443
2019-01-22,492
2019-01-23,434
2019-01-24,484
2019-01-25,513
2019-01-26,468
2019-01-27,439
2019-01-28,495
2019-01-29,442
2019-01-30,498
2019-01-31,546
2019-02-01,531
2019-02-02,494
2019-02-03,482
2019-02-04,569
2019-02-05,538
2019-02-06,539
2019-02-07,535
2019-02-08,554
2019-02-09,572
2019-02-10,551
2019-02-11,534
2019-02-12,535
2019-02-13,525
2019-02-14,597
2019-02-15,602
2019-02-16,572
2019-02-17,609
2019-02-18,572
2019-02-19,601
2019-02-20,636
2019-02-21,634
2019-02-22,565
2019-02-23,609
2019-02-24,617
2019-02-25,642
2019-02-26,647
2019-02-27,666
2019-02-28,636
2019-03-01,662
2019-03-02,693
2019-03-03,613
2019-03-04,611
2019-03-05,642
2019-03-06,699
2019-03-07,663
2019-03-08,630
2019-03-09,709
2019-03-10,671
2019-03-11,662
2019-03-12,714
2019-03-13,718
2019-03-14,725
2019-03-15,665
2019-03-16,755
2019-03-17,750
2019-03-18,723
2019-03-19,688
2019-03-20,742
2019-03-21,727
2019-03-22,757
2019-03-23,800
2019-03-24,725
2019-03-25,793
2019-03-26,794
2019-03-27,820
2019-03-28,811
2019-03-29,764
2019-03-30,797
2019-03-31,794
2019-04-01,801
2019-04-02,772
2019-04-03,799
2019-04-04,811
2019-04-05,847
2019-04-06,793
2019-04-07,785
2019-04-08,831
2019-04-09,860
2019-04-10,846
2019-04-11,835
2019-04-12,846
2019-04-13,825
2019-04-14,852
2019-04-15,854
2019-04-16,865
2019-04-17,929
2019-04-18,853
2019-04-19,923
2019-04-20,920
2019-04-21,892
2019-04-22,918
2019-04-23,950
2019-04-24,955
2019-04-25,963
2019-04-26,967
2019-04-27,953
2019-04-28,955
2019-04-29,927
2019-04-30,940
2019-05-01,910
2019-05-02,931
2019-05-03,985
2019-05-04,1013
2019-05-05,930
2019-05-06,961
2019-05-07,960
2019-05-08,943
2019-05-09,1033
2019-05-10,961
2019-05-11,993
2019-05-12,958
2019-05-13,1043
2019-05-14,967
2019-05-15,987
2019-05-16,1011
2019-05-17,996
2019-05-18,1053
2019-05-19,1007
2019-05-20,1064
2019-05-21,1063
2019-05-22,1008
2019-05-23,1039
2019-05-24,1083
2019-05-25,1038
2019-05-26,1042
2019-05-27,1102
2019-05-28,1103
2019-05-29,1080
2019-05-30,1097
2019-05-31,1078
2019-06-01,1134
2019-06-02,1081
2019-06-03,1153
2019-06-04,1076
2019-06-05,1122
2019-06-06,1152
2019-06-07,1163
2019-06-08,1096
2019-06-09,1158
2019-06-10,1131
2019-06-11,1108
2019-06-12,1188
2019-06-13,1214
2019-06-14,1181
2019-06-15,1142
2019-06-16,1139
2019-06-17,1143
2019-06-18,1196
2019-06-19,1219
2019-06-20,1187
2019-06-21,1159
2019-06-22,1191
2019-06-23,1245
2019-06-24,1214
2019-06-25,1214
2019-06-26,1213
2019-06-27,1277
2019-06-28,1234
2019-06-29,1217
2019-06-30,1218
2019-07-01,1267
2019-07-02,1285
2019-07-03,1267
2019-07-04,1259
2019-07-05,1248
2019-07-06,1292
2019-07-07,1301
2019-07-08,1246
2019-07-09,1299
2019-07-10,1251
2019-07-11,1266
2019-07-12,1323
2019-07-13,1357
2019-07-14,1301
2019-07-15,1343
2019-07-16,1349
2019-07-17,1336
2019-07-18,1385
2019-07-19,1346
2019-07-20,1330
2019-07-21,1361
2019-07-22,1314
2019-07-23,1391
2019-07-24,1339
2019-07-25,1391
2019-07-26,1396
2019-07-27,1373
2019-07-28,1429
2019-07-29,1438
2019-07-30,1430
2019-07-31,1422
2019-08-01,1414
2019-08-02,1429
2019-08-03,1426
2019-08-04,1412
2019-08-05,1433
2019-08-06,1481
2019-08-07,1480
2019-08-08,1442
2019-08-09,1445
2019-08-10,1436
2019-08-11,1435
2019-08-12,1471
2019-08-13,1503
2019-08-14,1494
2019-08-15,1511
2019-08-16,1526
2019-08-17,1530
2019-08-18,1523
2019-08-19,1530
2019-08-20,1529
2019-08-21,1512
2019-08-22,1531
2019-08-23,1481
2019-08-24,1546
2019-08-25,1490
2019-08-26,1503
2019-08-27,1572
2019-08-28,1528
2019-08-29,1563
2019-08-30,1565
2019-08-31,1606
2019-09-01,1608
2019-09-02,1583
2019-09-03,1586
2019-09-04,1618
2019-09-05,1607
2019-09-06,1633
2019-09-07,1592
2019-09-08,1551
2019-09-09,1565
2019-09-10,1657
2019-09-11,1591
2019-09-12,1643
2019-09-13,1585
2019-09-14,1614
2019-09-15,1676
2019-09-16,1603
2019-09-17,1605
2019-09-18,1640
2019-09-19,1660
2019-09-20,1678
2019-09-21,1694
2019-09-22,1654
2019-09-23,1689
2019-09-24,1714
2019-09-25,1666
2019-09-26,1672
2019-09-27,1739
2019-09-28,1714
2019-09-29,1731
2019-09-30,1681
2019-10-01,1748
2019-10-02,1723
2019-10-03,1697
2019-10-04,1736
2019-10-05,1742
2019-10-06,1779
2019-10-07,1793
2019-10-08,1757
2019-10-09,1747
2019-10-10,1771
2019-10-11,1718
2019-10-12,1751
2019-10-13,1784
2019-10-14,1817
2019-10-15,1771
2019-10-16,1795
2019-10-17,1834
2019-10-18,1782
2019-10-19,1808
2019-10-20,1832
2019-10-21,1860
2019-10-22,1781
2019-10-23,1856
2019-10-24,1796
2019-10-25,1854
2019-10-26,1856
2019-10-27,1841
2019-10-28,1879
2019-10-29,1901
2019-10-30,1851
2019-10-31,1861
2019-11-01,1914
2019-11-02,1837
2019-11-03,1880
2019-11-04,1872
2019-11-05,1908
2019-11-06,1941
2019-11-07,1888
2019-11-08,1855
2019-11-09,1959
2019-11-10,1960
2019-11-11,1937
2019-11-12,1884
2019-11-13,1896
2019-11-14,1982
2019-11-15,1966
2019-11-16,1912
2019-11-17,1921
2019-11-18,2004
2019-11-19,1955
2019-11-20,1940
2019-11-21,1998
2019-11-22,1940
2019-11-23,1941
2019-11-24,1952
2019-11-25,1969
2019-11-26,2022
2019-11-27,1992
2019-11-28,2020
2019-11-29,2007
2019-11-30,2034
2019-12-01,2002
2019-12-02,2050
2019-12-03,2038
2019-12-04,2010
2019-12-05,2008
2019-12-06,2093
2019-12-07,2025
2019-12-08,2073
2019-12-09,2017
2019-12-10,2024
2019-12-11,2083
2019-12-12,2039
2019-12-13,2106
2019-12-14,2107
2019-12-15,2090
2019-12-16,2141
2019-12-17,2053
2019-12-18,2108
2019-12-19,2105
2019-12-20,2129
2019-12-21,2139
2019-12-22,2120
2019-12-23,2146
2019-12-24,2105
2019-12-25,2113
2019-12-26,2151
2019-12-27,2118
2019-12-28,2137
2019-12-29,2183
2019-12-30,2210
2019-12-31,2198
